english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
new moon,新月,新月,新 + 月,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
"time, the days",月日,月日,月 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
today,今日,今日,今 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
tomorrow,明日,明日,明 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
the day before,前日,前日,前 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
"another day, later",後日,後日,後 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
every day,毎日,毎日,毎 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
every month,毎月,毎月,毎 + 月,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
every year,毎年,毎年,毎 + 年,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
new year,新年,新年,新 + 年,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
long years,長年,長年,長 + 年,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
all year round,年中,年中,年 + 中,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
older (in age),年上,年上,年 + 上,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
younger (in age),年下,年下,年 + 下,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
pension,年金,年金,年 + 金,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
daytime,日中,日中,日 + 中,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
one day,一日,一日,一 + 日,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 天文と時 (Sky & Time)
hands and feet,手足,手足,手 + 足,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
right hand,右手,右手,右 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
left hand,左手,左手,左 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
right foot,右足,右足,右 + 足,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
left foot,左足,左足,左 + 足,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
"attention, eyes and ears",耳目,耳目,耳 + 目,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
"superior, elder",目上,目上,目 + 上,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
subordinate,目下,目下,目 + 下,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
before one's eyes,目前,目前,目 + 前,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
footsteps,足音,足音,足 + 音,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
the whole,全体,全体,全 + 体,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
"roughly, mostly",大体,大体,大 + 体,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
what on earth,一体,一体,一 + 体,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 体 (Body)
genuine article,本物,本物,本 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
favorite food,好物,好物,好 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
local specialty,名物,名物,名 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
"book, writings",書物,書物,書 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
food,食物,食物,食 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
crops,作物,作物,作 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
living thing,生物,生物,生 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
"scenery, seasonal sights",風物,風物,風 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
"hardware, metalware",金物,金物,金 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
kimono,着物,着物,着 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
"drink, beverage",飲み物,飲み物,飲 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
shopping,買い物,買い物,買 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
reading material,読み物,読み物,読 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
belongings,持ち物,持ち物,持 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
sound (of something),物音,物音,物 + 音,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
sightseeing,見物,見物,見 + 物,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 物 (Things)
"model, example",手本,手本,手 + 本,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
"this side of, before",手前,手前,手 + 前,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
"skilled, good at",上手,上手,上 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
"clumsy, bad at",下手,下手,下 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
postage stamp,切手,切手,切 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
obtaining,入手,入手,入 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
"player, athlete",選手,選手,選 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
assistant,助手,助手,助 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
"start, embark on",着手,着手,着 + 手,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 手 (Hand Compounds)
entrance,入口,入口,入 + 口,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
exit,出口,出口,出 + 口,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
going in and out,出入,出入,出 + 入,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
"payment, deposit",入金,入金,入 + 金,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
withdrawal,出金,出金,出 + 金,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
going out,外出,外出,外 + 出,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
newly entered,新入,新入,新 + 入,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
entering (as in 立入禁止),立入,立入,立 + 入,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 入と出 (In & Out)
Japan,日本,日本,日 + 本,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
real name,本名,本名,本 + 名,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
true feelings,本心,本心,本 + 心,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
sample,見本,見本,見 + 本,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
textbook,教本,教本,教 + 本,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
"reader, study book",読本,読本,読 + 本,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
reading,読書,読書,読 + 書,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
reading aloud,音読,音読,音 + 読,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
newspaper,新聞,新聞,新 + 聞,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 本と書 (Books & Writing)
foreign country,外国,外国,外 + 国,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
great power,大国,大国,大 + 国,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
nationwide,全国,全国,全 + 国,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
national (institution),国立,国立,国 + 立,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
outside the country,国外,国外,国 + 外,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
country name,国名,国名,国 + 名,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
overseas,海外,海外,海 + 外,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 国 (Country & State)
"center, core",中心,中心,中 + 心,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 心と感 (Mind & Feeling)
admiration,感心,感心,感 + 心,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 心と感 (Mind & Feeling)
being moved/impressed,感動,感動,感 + 動,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 心と感 (Mind & Feeling)
feeling,気持ち,気持ち,気 + 持,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 心と感 (Mind & Feeling)
memory,思い出,思い出,思 + 出,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 心と感 (Mind & Feeling)
"movement, action",動作,動作,動 + 作,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
fluctuation,変動,変動,変 + 動,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
"start, commencement",開始,開始,開 + 始,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
opening and closing,開閉,開閉,開 + 閉,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
from start to finish,始終,始終,始 + 終,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
life and death,生死,生死,生 + 死,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
"event, occurrence",出来事,出来事,出 + 来 + 事,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 動と変 (Movement & Change)
"important, precious",大事,大事,大 + 事,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
"important, dear",大切,大切,大 + 切,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
terrible / very,大変,大変,大 + 変,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
large sum of money,大金,大金,大 + 金,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
landlord,大家,大家,大 + 家,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
ambassador,大使,大使,大 + 使,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > 大 (Big Compounds)
meal,食事,食事,食 + 事,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
fire (disaster),火事,火事,火 + 事,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
governor,知事,知事,知 + 事,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
gold color,金色,金色,金 + 色,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
light blue,水色,水色,水 + 色,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
"tone, timbre",音色,音色,音 + 色,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
wood grain,木目,木目,木 + 目,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
"nominal, in name only",名目,名目,名 + 目,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
"obvious, clear",明白,明白,明 + 白,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
more or less,多少,多少,多 + 少,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
appearance,外見,外見,外 + 見,,,word-building,漢字の組み合わせ (Real Kanji Compounds) > その他 (Other)
